Date,Confirmed,Recovered,Daily_Confirmed,Deaths,Daily_Deaths,Total_Test,Number_of_daily_test,time
07-03-20,0,0,0,0,0,120,,1
08-03-20,3,0,3,0,0,127,7,2
09-03-20,0,0,0,0,0,137,10,3
10-03-20,0,0,0,0,0,147,10,4
11-03-20,0,0,0,0,0,163,16,5
12-03-20,0,0,0,0,0,187,24,6
13-03-20,0,0,0,0,0,211,24,7
14-03-20,3,0,0,0,0,241,30,8
15-03-20,0,0,0,0,0,268,27,9
16-03-20,5,2,2,0,0,293,25,10
17-03-20,8,3,3,0,0,342,49,11
18-03-20,10,3,2,0,0,381,39,12
19-03-20,10,3,0,0,0,427,46,13
20-03-20,17,3,7,0,0,463,36,14
21-03-20,24,3,7,2,2,499,36,15
22-03-20,27,3,3,3,1,564,65,16
23-03-20,33,5,6,3,0,620,56,17
24-03-20,39,5,6,4,1,712,92,18
25-03-20,39,7,0,5,1,794,82,19
26-03-20,48,11,9,5,0,920,126,20
27-03-20,48,11,0,5,0,1026,106,21
28-03-20,48,15,0,5,0,1076,50,22
29-03-20,49,15,1,5,0,1185,109,23
30-03-20,49,19,0,5,0,1338,153,24
31-03-20,51,25,2,5,0,1602,264,25
01-04-20,54,25,3,6,1,1759,157,26
02-04-20,56,25,2,6,0,1906,147,27
03-04-20,61,26,5,6,0,2113,207,28
04-04-20,70,30,9,8,2,2547,434,29
05-04-20,88,33,18,9,1,2914,367,30
06-04-20,123,33,35,12,3,3610,696,31
07-04-20,164,33,41,17,5,4402,792,32
08-04-20,218,33,54,20,3,5383,981,33
09-04-20,330,33,112,21,1,6480,1097,34
10-04-20,424,33,94,27,6,7664,1184,35
11-04-20,482,36,58,30,3,8313,649,36
12-04-20,621,39,139,34,4,9653,1340,37
13-04-20,803,42,182,39,5,11223,1570,38
14-04-20,1012,42,209,46,7,13128,1905,39
15-04-20,1231,49,219,50,4,14868,1740,40
16-04-20,1572,49,341,60,10,17003,2135,41
17-04-20,1838,58,266,75,15,19193,2190,42
18-04-20,2144,66,306,84,9,21307,2114,43
19-04-20,2456,75,312,91,7,23941,2634,44
20-04-20,2948,85,492,101,10,26604,2663,45
21-04-20,3382,87,434,110,9,29578,2974,46
22-04-20,3772,92,390,120,10,32674,3096,47
23-04-20,4186,108,414,127,7,36090,3416,48
24-04-20,4689,112,503,131,4,39776,3686,49
25-04-20,4998,113,309,140,9,43012,3236,50
26-04-20,5416,122,418,145,5,46485,3473,51
27-04-20,5913,131,497,152,7,50297,3812,52
28-04-20,6462,139,549,155,3,54733,4436,53
29-04-20,7103,150,641,163,8,59701,4968,54
30-04-20,7667,160,564,168,5,64666,4965,55
01-05-20,8238,174,571,170,2,70239,5573,56
02-05-20,8790,177,552,175,5,76066,5827,57
03-05-20,9455,1063,665,177,2,81454,5388,58
04-05-20,10143,1209,688,182,5,87698,6244,59
05-05-20,10929,1403,786,183,1,93403,5705,60
06-05-20,11719,1403,790,186,3,99644,6241,61
07-05-20,12425,1910,706,199,13,105511,5867,62
08-05-20,13134,1910,709,206,7,111454,5943,63
09-05-20,13770,2650,636,214,8,116919,5465,64
10-05-20,14657,2650,887,228,14,122657,5738,65
11-05-20,15691,2902,1034,239,11,129865,7208,66
12-05-20,16660,3147,969,250,11,136638,6773,67
13-05-20,17822,3361,1162,269,19,144538,7900,68
14-05-20,18863,3361,1041,283,14,151930,7392,69
15-05-20,20065,3882,1202,298,15,160512,8582,70
16-05-20,20995,4117,930,314,16,167294,6782,71
